State,District,District_Id,Temprature,Year,Rainfall,Season,Crop,Crop_Id,Area,Production
Karnataka,Bagalkot,0,27,2007,126,Rabi       ,Jowar,11,15,22
Karnataka,Bagalkot,0,25,2008,130,Rabi       ,Maize,12,357,2374
Karnataka,Bagalkot,0,26,2009,119,Rabi       ,Ragi,15,3,9
Karnataka,Bagalkot,0,27,2000,118,Whole Year ,Arhar/Tur,1,192,167
Karnataka,Bagalkot,0,29,2001,125,Whole Year ,Banana,3,144,6292
Karnataka,Bagalkot,0,27,2002,127,Whole Year ,Cashewnut,4,29930,6468
Karnataka,Bagalkot,0,30,2003,119,Whole Year ,Castor seed,5,38,8
Karnataka,Bagalkot,0,28,2004,121,Whole Year ,Coconut ,6,323,2600000
Karnataka,Bagalkot,0,27,2005,127,Whole Year ,Coriander,7,75,35
Karnataka,Bagalkot,0,27,2006,128,Whole Year ,Dry chillies,9,735,509
Karnataka,Bagalkot,0,29,2007,118,Whole Year ,Moong(Green Gram),13,6,4
Karnataka,Bagalkot,0,30,2008,116,Whole Year ,Onion,14,26,329
Karnataka,Bagalkot,0,29,2009,122,Whole Year ,Small millets,22,259,705
Karnataka,Bagalkot,0,27,2009,114,Whole Year ,Sugarcane,16,7967,880259
Karnataka,Bagalkot,0,29,2010,126,Whole Year ,Sunflower,17,228,418
Karnataka,Bagalkot,0,31,2011,118,Whole Year ,Tapioca,19,273,10282
Karnataka,Bagalkot,0,28,2012,128,Whole Year ,Turmeric,20,100,548
Karnataka,Bagalkot,0,27,2013,113,Whole Year ,Urad,21,1496,1163
Karnataka,Bagalkot,0,27,2014,112,Kharif     ,Arhar/Tur,1,99,78
Karnataka,Bagalkot,0,30,2015,110,Kharif     ,Castor seed,5,65,14
Karnataka,Bagalkot,0,26,2016,128,Kharif     ,Cotton(lint),8,8634,15664
Karnataka,Bagalkot,0,27,2017,120,Kharif     ,Groundnut,10,9108,23014
Karnataka,Bagalkot,0,27,2018,117,Kharif     ,Maize,12,14743,35469
Karnataka,Bagalkot,0,28,2009,121,Kharif     ,Moong(Green Gram),13,2,1
Karnataka,Bagalkot,0,27,2010,117,Kharif     ,Ragi,15,8,15
Karnataka,Bagalkot,0,28,2011,124,Kharif     ,Rice,0,17523,36392
Karnataka,Bagalkot,0,27,2012,124,Kharif     ,Sunflower,17,754,922
Karnataka,Bagalkot,0,27,2013,124,Kharif     ,Urad,21,1703,924
Karnataka,Bagalkot,0,25,2014,114,Whole Year ,Sugarcane,16,7804,707584
Karnataka,Bagalkot,0,27,2015,111,Kharif     ,Bajra,2,777,2888
Karnataka,Bagalkot,0,29,2016,115,Kharif     ,Castor seed,5,31,10
Karnataka,Bagalkot,0,30,2017,128,Kharif     ,Cotton(lint),8,8815,29867
Karnataka,Bagalkot,0,28,2018,111,Kharif     ,Groundnut,10,6436,21168
Karnataka,Bagalkot,0,30,2009,113,Kharif     ,Jowar,11,809,1004
Karnataka,Bagalkot,0,27,2010,113,Kharif     ,Maize,12,17153,91257
Karnataka,Bagalkot,0,31,2011,123,Kharif     ,Moong(Green Gram),13,23,13
Karnataka,Bagalkot,0,27,2012,117,Kharif     ,Onion,14,36,419
Karnataka,Bagalkot,0,31,2013,112,Kharif     ,Ragi,15,38,104
Karnataka,Bagalkot,0,31,2014,126,Kharif     ,Rice,0,24437,131658
Karnataka,Bagalkot,0,27,2015,121,Kharif     ,Sunflower,17,76,137
Karnataka,Bagalkot,0,27,2016,126,Kharif     ,Urad,21,1951,1639
Karnataka,Bagalkot,0,25,2017,130,Rabi       ,Bajra,2,95,190
Karnataka,Bagalkot,0,26,2018,119,Rabi       ,Cotton(lint),8,303,727
Karnataka,Bagalkot,0,27,2009,118,Rabi       ,Groundnut,10,3571,21760
Karnataka,Bagalkot,0,29,2010,125,Rabi       ,Horse-gram,24,111,91
Karnataka,Bagalkot,0,27,2011,127,Rabi       ,Jowar,11,63,136
Karnataka,Bagalkot,0,30,2012,119,Rabi       ,Maize,12,615,3076
Karnataka,Bagalkot,0,28,2013,121,Rabi       ,Onion,14,7,59
Karnataka,Bagalkot,0,27,2014,127,Rabi       ,Ragi,15,11,44
Karnataka,Bagalkot,0,27,2015,128,Rabi       ,Sunflower,17,1,1
Karnataka,Bagalkot,0,29,2016,118,Rabi       ,Urad,21,1485,1267
Karnataka,Bagalkot,0,30,2017,116,Whole Year ,Arhar/Tur,1,236,228
Karnataka,Bagalkot,0,29,2018,122,Whole Year ,Banana,3,131,5441
Karnataka,Bagalkot,0,27,2000,114,Whole Year ,Cashewnut,4,30152,6600
Karnataka,Bagalkot,0,29,2001,126,Whole Year ,Coconut ,6,331,1700000
Karnataka,Bagalkot,0,31,2002,118,Whole Year ,Coriander,7,14,5
Karnataka,Bagalkot,0,28,2003,128,Whole Year ,Dry chillies,9,212,58
Karnataka,Bagalkot,0,27,2004,113,Whole Year ,Small millets,22,187,491
Karnataka,Bagalkot,0,27,2005,112,Whole Year ,Sugarcane,16,9875,1112304
Karnataka,Bagalkot,0,30,2006,110,Whole Year ,Tapioca,19,189,5655
Karnataka,Bagalkot,0,26,2007,128,Whole Year ,Turmeric,20,61,224
Karnataka,Banglore Rural,1,27,2008,120,Kharif     ,Banana,3,5619,183740
Karnataka,Banglore Rural,1,27,2009,117,Kharif     ,Horse-gram,24,6849,3040
Karnataka,Banglore Rural,1,28,2000,121,Kharif     ,Onion,14,2813,37188
Karnataka,Banglore Rural,1,27,2001,117,Kharif     ,Sesamum,23,1598,580
Karnataka,Banglore Rural,1,28,2002,124,Kharif     ,Small millets,22,63,50
Karnataka,Banglore Rural,1,27,2003,124,Kharif     ,Tobacco,25,936,1620
Karnataka,Banglore Rural,1,27,2004,124,Whole Year ,Arhar/Tur,1,1393,700
Karnataka,Banglore Rural,1,25,2005,114,Whole Year ,Bajra,2,518,910
Karnataka,Banglore Rural,1,27,2006,111,Whole Year ,Banana,3,7269,285930
Karnataka,Banglore Rural,1,29,2007,115,Whole Year ,Black pepper,26,131,30
Karnataka,Banglore Rural,1,30,2008,128,Whole Year ,Cardamom,27,834,70
Karnataka,Banglore Rural,1,28,2009,111,Whole Year ,Cashewnut,4,63,40
Karnataka,Banglore Rural,1,30,2000,113,Whole Year ,Castor seed,5,199,70
Karnataka,Banglore Rural,1,27,2001,113,Whole Year ,Coriander,7,709,130
Karnataka,Banglore Rural,1,31,2002,123,Whole Year ,Cotton(lint),8,16858,30610
Karnataka,Banglore Rural,1,27,2003,117,Whole Year ,Dry chillies,9,2350,1430
Karnataka,Banglore Rural,1,31,2004,112,Whole Year ,Gram,28,4481,3320
Karnataka,Banglore Rural,1,31,2005,126,Whole Year ,Groundnut,10,33861,43150
Karnataka,Banglore Rural,1,27,2006,121,Whole Year ,Jowar,11,89773,65140
Karnataka,Banglore Rural,1,27,2007,126,Whole Year ,Maize,12,15763,17720
Karnataka,Banglore Rural,1,25,2008,130,Whole Year ,Moong(Green Gram),13,4526,1480
Karnataka,Banglore Rural,1,26,2009,119,Whole Year ,Onion,14,1680,20960
Karnataka,Banglore Rural,1,27,2000,118,Whole Year ,Pulses total,29,34941,13110
Karnataka,Banglore Rural,1,29,2001,125,Whole Year ,Ragi,15,401,800
Karnataka,Banglore Rural,1,27,2002,127,Whole Year ,Rice,0,18703,57670
Karnataka,Banglore Rural,1,30,2003,119,Whole Year ,Sugarcane,16,10756,12272000
Karnataka,Banglore Rural,1,28,2004,121,Whole Year ,Sunflower,17,457,460
Karnataka,Banglore Rural,1,27,2005,127,Whole Year ,Tapioca,19,1320,49510
Karnataka,Banglore Rural,1,27,2006,128,Whole Year ,Tobacco,25,844,1250
Karnataka,Banglore Rural,1,29,2007,118,Whole Year ,Total foodgrain,30,160230,155430
Karnataka,Banglore Rural,1,30,2008,116,Whole Year ,Turmeric,20,2024,16960
Karnataka,Banglore Rural,1,29,2009,122,Whole Year ,Urad,21,3085,1440
Karnataka,Banglore Rural,1,27,2009,114,Kharif     ,Arhar/Tur,1,2312,1998
Karnataka,Banglore Rural,1,29,2010,126,Kharif     ,Bajra,2,244,511
Karnataka,Banglore Rural,1,31,2011,118,Kharif     ,Cotton(lint),8,15370,32294
Karnataka,Banglore Rural,1,28,2012,128,Kharif     ,Groundnut,10,39937,69248
Karnataka,Banglore Rural,1,27,2013,113,Kharif     ,Horse-gram,24,7231,3030
Karnataka,Banglore Rural,1,27,2014,112,Kharif     ,Jowar,11,88370,64470
Karnataka,Banglore Rural,1,30,2015,110,Kharif     ,Maize,12,18828,21163
Karnataka,Banglore Rural,1,26,2016,128,Kharif     ,Moong(Green Gram),13,7116,3899
Karnataka,Banglore Rural,1,27,2017,120,Kharif     ,Pulses total,29,43420,20310
Karnataka,Banglore Rural,1,27,2018,117,Kharif     ,Ragi,15,510,1271
Karnataka,Banglore Rural,1,28,2009,121,Kharif     ,Rice,0,15034,51575
Karnataka,Banglore Rural,1,27,2010,117,Kharif     ,Sesamum,23,1106,423
Karnataka,Banglore Rural,1,28,2011,124,Kharif     ,Small millets,22,4600,3400
Karnataka,Banglore Rural,1,27,2012,124,Kharif     ,Sunflower,17,191,197
Karnataka,Banglore Rural,1,27,2013,124,Kharif     ,Total foodgrain,30,167323,15962
Karnataka,Banglore Rural,1,25,2014,114,Kharif     ,Urad,21,10191,4983
Karnataka,Banglore Rural,1,27,2015,111,Rabi       ,Gram,28,4164,3981
Karnataka,Banglore Rural,1,29,2016,115,Rabi       ,Wheat,31,20,1
Karnataka,Banglore Rural,1,30,2017,128,Whole Year ,Banana,3,6189,243451
Karnataka,Banglore Rural,1,28,2018,111,Whole Year ,Black pepper,26,130,26
Karnataka,Banglore Rural,1,30,2009,113,Whole Year ,Cardamom,27,833,68
Karnataka,Banglore Rural,1,27,2010,113,Whole Year ,Castor seed,5,174,60
Karnataka,Banglore Rural,1,31,2011,123,Whole Year ,Coriander,7,822,150
Karnataka,Banglore Rural,1,27,2012,117,Whole Year ,Dry chillies,9,1980,1202
Karnataka,Banglore Rural,1,31,2013,112,Whole Year ,Onion,14,3093,38591
Karnataka,Banglore Rural,1,27,2015,121,Whole Year ,Sugarcane,16,13193,1467460
Karnataka,Banglore Rural,1,27,2016,126,Whole Year ,Tapioca,19,1526,56679
Karnataka,Banglore Rural,1,25,2017,130,Whole Year ,Tobacco,25,461,687
Karnataka,Banglore Rural,1,26,2018,119,Whole Year ,Turmeric,20,2652,22221
Karnataka,Banglore Rural,1,27,2009,118,Kharif     ,Arhar/Tur,1,961,635
Karnataka,Banglore Rural,1,29,2010,125,Kharif     ,Bajra,2,670,1376
Karnataka,Banglore Rural,1,27,2011,127,Kharif     ,Castor seed,5,3771,1365
Karnataka,Banglore Rural,1,30,2012,119,Kharif     ,Cotton(lint),8,7627,12264
Karnataka,Banglore Rural,1,28,2013,121,Kharif     ,Groundnut,10,36123,55110
Karnataka,Banglore Rural,1,27,2014,127,Kharif     ,Horse-gram,24,7884,2985
Karnataka,Banglore Rural,1,27,2015,128,Kharif     ,Jowar,11,87539,43978
Karnataka,Banglore Rural,1,30,2017,116,Kharif     ,Maize,12,19841,22328
Karnataka,Banglore Rural,1,29,2018,122,Kharif     ,Moong(Green Gram),13,6400,3104
Karnataka,Banglore Rural,1,27,2000,114,Kharif     ,Ragi,15,419,449
Karnataka,Banglore Rural,1,29,2001,126,Kharif     ,Rice,0,16875,60494
Karnataka,Banglore Rural,1,31,2002,118,Kharif     ,Sesamum,23,1100,521
Karnataka,Banglore Rural,1,28,2003,128,Kharif     ,Sunflower,17,978,984
Karnataka,Banglore Rural,1,27,2004,113,Kharif     ,Urad,21,5178,2682
Karnataka,Banglore Rural,1,27,2005,112,Rabi       ,Gram,28,5030,3723
Karnataka,Banglore Rural,1,30,2006,110,Rabi       ,Samai,34,134,73
Karnataka,Banglore Rural,1,26,2007,128,Rabi       ,Wheat,31,9,4
Karnataka,Banglore Rural,1,27,2008,120,Whole Year ,Banana,3,5619,183740
Karnataka,Banglore Rural,1,27,2009,117,Whole Year ,Cashewnut,4,36,11
Karnataka,Banglore Rural,1,28,2000,121,Whole Year ,Coriander,7,324,59
Karnataka,Banglore Rural,1,27,2001,117,Whole Year ,Dry chillies,9,1418,1235
Karnataka,Banglore Rural,1,28,2002,124,Whole Year ,Guar seed,35,11939,118374
Karnataka,Banglore Rural,1,27,2003,124,Whole Year ,Onion,14,2813,37188
Karnataka,Banglore Rural,1,27,2004,124,Whole Year ,Sugarcane,16,11939,1195037
Karnataka,Banglore Rural,1,27,2006,111,Whole Year ,Tapioca,19,834,29595
Karnataka,Banglore Rural,1,29,2007,115,Whole Year ,Tobacco,25,936,1620
Karnataka,Banglore Rural,1,30,2008,128,Whole Year ,Turmeric,20,3023,19346
Karnataka,Banglore Rural,1,28,2009,111,Kharif     ,Arhar/Tur,1,632,418
Karnataka,Banglore Rural,1,30,2000,113,Kharif     ,Bajra,2,307,479
Karnataka,Banglore Rural,1,27,2001,113,Kharif     ,Castor seed,5,242,88
Karnataka,Banglore Rural,1,31,2002,123,Kharif     ,Cotton(lint),8,6674,10987
Karnataka,Banglore Rural,1,27,2003,117,Kharif     ,Groundnut,10,20169,27436
Karnataka,Banglore Rural,1,31,2004,112,Kharif     ,Horse-gram,24,4859,1809
Karnataka,Banglore Rural,1,31,2005,126,Kharif     ,Jowar,11,74450,35650
Karnataka,Banglore Rural,1,27,2006,121,Kharif     ,Maize,12,18075,20341
Karnataka,Banglore Rural,1,27,2007,126,Kharif     ,Moong(Green Gram),13,5292,2397
Karnataka,Banglore Rural,1,25,2008,130,Kharif     ,Other Cereals & Millets,36,10,6
Karnataka,Banglore Rural,1,26,2009,119,Kharif     ,Other Kharif pulses,37,12066,2582
Karnataka,Banglore Rural,1,27,2000,118,Kharif     ,Ragi,15,295,305
Karnataka,Banglore Rural,1,29,2001,125,Kharif     ,Rice,0,12170,47066
Karnataka,Banglore Rural,1,27,2002,127,Kharif     ,Sesamum,23,800,382
Karnataka,Banglore Rural,1,30,2003,119,Kharif     ,Sunflower,17,145,153
Karnataka,Banglore Rural,1,28,2004,121,Kharif     ,Urad,21,3716,1925
Karnataka,Banglore Rural,1,27,2005,127,Rabi       ,Gram,28,2297,1700
Karnataka,Banglore Rural,1,30,2008,116,Whole Year ,Banana,3,7050,230533
Karnataka,Banglore Rural,1,29,2009,122,Whole Year ,Cashewnut,4,43,17
Karnataka,Banglore Rural,1,27,2009,114,Whole Year ,Coriander,7,294,53
Karnataka,Banglore Rural,1,29,2010,126,Whole Year ,Dry chillies,9,1716,1653
Karnataka,Banglore Rural,1,31,2011,118,Whole Year ,Onion,14,4450,58829
Karnataka,Banglore Rural,1,27,2013,113,Whole Year ,Sugarcane,16,11167,1117764
Karnataka,Banglore Rural,1,27,2014,112,Whole Year ,Tapioca,19,1236,43860
Karnataka,Banglore Rural,1,30,2015,110,Whole Year ,Tobacco,25,601,1040
Karnataka,Banglore Rural,1,26,2016,128,Whole Year ,Turmeric,20,4178,26062
Karnataka,Banglore Rural,1,27,2017,120,Kharif     ,Arhar/Tur,1,563,370
Karnataka,Banglore Rural,1,27,2018,117,Kharif     ,Bajra,2,236,450
Karnataka,Banglore Rural,1,28,2009,121,Kharif     ,Cotton(lint),8,10220,14650
Karnataka,Banglore Rural,1,27,2010,117,Kharif     ,Groundnut,10,19152,29100
Karnataka,Banglore Rural,1,28,2011,124,Kharif     ,Jowar,11,75752,29680
Karnataka,Banglore Rural,1,27,2012,124,Kharif     ,Moong(Green Gram),13,4420,1260
Karnataka,Banglore Rural,1,27,2013,124,Kharif     ,Ragi,15,233,420
Karnataka,Banglore Rural,1,25,2014,114,Kharif     ,Rice,0,10548,37200
Karnataka,Banglore Rural,1,27,2015,111,Kharif     ,Sesamum,23,914,460
Karnataka,Banglore Rural,1,29,2016,115,Kharif     ,Sunflower,17,45,60
Karnataka,Banglore Rural,1,30,2017,128,Kharif     ,Urad,21,1839,720
Karnataka,Banglore Rural,1,28,2018,111,Whole Year ,Sugarcane,16,13438,1496800
Karnataka,Banglore Rural,1,30,2009,113,Kharif     ,Arhar/Tur,1,468,255
Karnataka,Banglore Rural,1,27,2010,113,Kharif     ,Bajra,2,624,684
Karnataka,Banglore Rural,1,31,2011,123,Kharif     ,Castor seed,5,168,62
Karnataka,Banglore Rural,1,27,2012,117,Kharif     ,Cotton(lint),8,5103,3024
Karnataka,Banglore Rural,1,31,2013,112,Kharif     ,Groundnut,10,13131,12376
Karnataka,Banglore Rural,1,31,2014,126,Kharif     ,Horse-gram,24,5794,1171
Karnataka,Banglore Rural,1,27,2015,121,Kharif     ,Jowar,11,80595,23240
Karnataka,Banglore Rural,1,25,2017,130,Kharif     ,Maize,12,18242,20520
Karnataka,Banglore Rural,1,26,2018,119,Kharif     ,Moong(Green Gram),13,4238,699
Karnataka,Banglore Rural,1,27,2009,118,Kharif     ,Other Kharif pulses,37,12702,2721
Karnataka,Banglore Rural,1,29,2010,125,Kharif     ,Ragi,15,198,264
Karnataka,Banglore Rural,1,27,2011,127,Kharif     ,Rice,0,6577,22152
Karnataka,Banglore Rural,1,30,2012,119,Kharif     ,Samai,34,24,17
Karnataka,Banglore Rural,1,28,2013,121,Kharif     ,Sesamum,23,525,177
Karnataka,Banglore Rural,1,27,2014,127,Kharif     ,Sunflower,17,10,12
Karnataka,Banglore Rural,1,27,2015,128,Kharif     ,Urad,21,2083,831
Karnataka,Banglore Rural,1,30,2017,116,Rabi       ,Gram,28,4113,3046
Karnataka,Banglore Rural,1,29,2001,126,Whole Year ,Banana,3,6499,212533
Karnataka,Banglore Rural,1,27,2004,113,Whole Year ,Bhindi,44,392,5017
Karnataka,Banglore Rural,1,26,2007,128,Whole Year ,Brinjal,47,621,6413
Karnataka,Banglore Rural,1,27,2008,120,Whole Year ,Cashewnut,4,243,73
Karnataka,Banglore Rural,1,28,2000,121,Whole Year ,Citrus Fruit,49,56,62
Karnataka,Banglore Rural,1,27,2001,117,Whole Year ,Coconut ,6,99250,630000
Karnataka,Banglore Rural,1,28,2002,124,Whole Year ,Coriander,7,680,323
Karnataka,Banglore Rural,1,25,2005,114,Whole Year ,Dry chillies,9,1265,654
Karnataka,Banglore Rural,1,27,2006,111,Whole Year ,Garlic,52,2,11
Karnataka,Banglore Rural,1,29,2007,115,Whole Year ,Grapes,53,368,6782
Karnataka,Banglore Rural,1,30,2008,128,Whole Year ,Jack Fruit,54,13,147
Karnataka,Banglore Rural,1,30,2000,113,Whole Year ,Mango,56,3848,28864
Karnataka,Banglore Rural,1,27,2001,113,Whole Year ,Onion,14,1970,26248
Karnataka,Banglore Rural,1,31,2002,123,Whole Year ,Orange,57,18,28
Karnataka,Banglore Rural,1,27,2007,126,Whole Year ,Pome Fruit,62,172,900
Karnataka,Banglore Rural,1,27,2002,127,Whole Year ,Sugarcane,16,9623,830060
Karnataka,Banglore Rural,1,30,2003,119,Whole Year ,Tapioca,19,518,15576
Karnataka,Banglore Rural,1,28,2004,121,Whole Year ,Tomato,67,4409,56986
Karnataka,Banglore Rural,1,27,2005,127,Whole Year ,Turmeric,20,1453,7620
Karnataka,Banglore Rural,1,30,2008,116,Kharif     ,Arhar/Tur,1,342,209
Karnataka,Banglore Rural,1,29,2009,122,Kharif     ,Bajra,2,500,575
Karnataka,Banglore Rural,1,27,2009,114,Kharif     ,Castor seed,5,205,76
Karnataka,Banglore Rural,1,29,2010,126,Kharif     ,Cotton(lint),8,6881,8600
Karnataka,Banglore Rural,1,31,2011,118,Kharif     ,Groundnut,10,16629,14937
Karnataka,Banglore Rural,1,28,2012,128,Kharif     ,Horse-gram,24,5967,1710
Karnataka,Banglore Rural,1,27,2013,113,Kharif     ,Jowar,11,94373,28512
Karnataka,Banglore Rural,1,26,2016,128,Kharif     ,Moong(Green Gram),13,5730,1737
Karnataka,Banglore Rural,1,27,2017,120,Kharif     ,Other Kharif pulses,37,15696,3363
Karnataka,Banglore Rural,1,27,2018,117,Kharif     ,Ragi,15,174,240
Karnataka,Banglore Rural,1,28,2009,121,Kharif     ,Rice,0,3654,10643
Karnataka,Banglore Rural,1,27,2010,117,Kharif     ,Sesamum,23,874,279
Karnataka,Banglore Rural,1,27,2013,124,Kharif     ,Urad,21,1715,701
Karnataka,Banglore Rural,1,25,2014,114,Rabi       ,Gram,28,4627,3427
Karnataka,Banglore Rural,1,27,2015,111,Whole Year ,Arecanut,40,1577,1847
Karnataka,Banglore Rural,1,30,2017,128,Whole Year ,Banana,3,4983,145880
Karnataka,Banglore Rural,1,27,2010,113,Whole Year ,Bhindi,44,337,2885
Karnataka,Banglore Rural,1,27,2012,117,Whole Year ,Black pepper,26,127,25
Karnataka,Banglore Rural,1,31,2014,126,Whole Year ,Brinjal,47,553,6182
Karnataka,Banglore Rural,1,27,2015,121,Whole Year ,Cabbage,70,5,318
Karnataka,Banglore Rural,1,27,2016,126,Whole Year ,Cardamom,27,813,63
Karnataka,Banglore Rural,1,25,2017,130,Whole Year ,Cashewnut,4,249,86
Karnataka,Banglore Rural,1,27,2009,118,Whole Year ,Citrus Fruit,49,59,62
Karnataka,Banglore Rural,1,29,2010,125,Whole Year ,Coconut ,6,99381,690200
Karnataka,Banglore Rural,1,27,2011,127,Whole Year ,Coriander,7,1747,911
Karnataka,Banglore Rural,1,27,2014,127,Whole Year ,Dry chillies,9,1410,724
Karnataka,Banglore Rural,1,27,2015,128,Whole Year ,Grapes,53,365,1638
Karnataka,Banglore Rural,1,29,2016,118,Whole Year ,Jack Fruit,54,14,135
Karnataka,Banglore Rural,1,29,2018,122,Whole Year ,Mango,56,3793,10951
Karnataka,Banglore Rural,1,27,2000,114,Whole Year ,Onion,14,1330,18824
Karnataka,Banglore Rural,1,29,2001,126,Whole Year ,Orange,57,12,24
Karnataka,Banglore Rural,1,30,2006,110,Whole Year ,Pome Fruit,62,156,1096
Karnataka,Banglore Rural,1,28,2002,124,Whole Year ,Sugarcane,16,6299,548422
Karnataka,Banglore Rural,1,27,2003,124,Whole Year ,Sweet potato,18,1,14
Karnataka,Banglore Rural,1,27,2004,124,Whole Year ,Tapioca,19,459,14224
Karnataka,Banglore Rural,1,25,2005,114,Whole Year ,Tomato,67,4386,52229
